"adverb","translation","mistakes"
"ab und zu","en ocasiones",1.0
"abends","por las tardes",1.0
"abwärts","hacia abajo",1.0
"allerdings","sin embargo",1.0
"am ehesten","lo más probable / lo más pronto",1.0
"am häufigsten","lo más frecuente",1.0
"am liebsten","lo más preferible",1.0
"am wohlsten","lo mejor",1.0
"andererseits","por otra parte",1.0
"ansonsten","por lo demás",1.0
"auch","también",1.0
"aufwärts","hacia arriba",1.0
"außen","fuera",1.0
"außerdem","además",1.0
"bald","pronto",1.0
"bergab","cuesta abajo",1.0
"bergauf","cuesta arriba",1.0
"beziehungsweise","o bien / respectivamente",1.0
"da","ahí",1.0
"daher","por lo tanto",1.0
"damals","entonces",1.0
"dann","luego",1.0
"darum","por ello",1.0
"deshalb","por ello",1.0
"deswegen","por eso",1.0
"dienstags","los martes",1.0
"doch","pues",1.0
"donnerstags","los jueves",1.0
"dort","allí",1.0
"dringend","urgentemente, desesperadamente",1.0
"drittens","en tercer lugar",1.0
"ebenfalls","también",1.0
"eher","más bien / más pronto",1.0
"einerseits","por una parte",1.0
"erstens","en primer lugar",1.0
"falls","en caso de que / si",1.0
"fast immer","casi siempre",1.0
"fast nie","casi nunca",1.0
"folglich","por lo tanto",1.0
"freitags","los viernes",1.0
"früher","antes",1.0
"gelegentlich","ocasionalmente",1.0
"gern","gustosamente",1.0
"gestern","ayer",1.0
"gleich","inmediatamente",1.0
"gleichfalls","igualmente",1.0
"gleichzeitig","al mismo tiempo",1.0
"hauptsächlich","principalmente",1.0
"heimwärts","hacia casa",1.0
"heute","hoy",1.0
"hier","aquí",1.0
"hingegen","por el contrario",1.0
"hinten","detrás",1.0
"häufig","frecuentemente",1.0
"höflich","cortésmente",1.0
"immer","siempre",1.0
"immerhin","al menos / después de todo",1.0
"innen","dentro",1.0
"insofern","en este sentido",1.0
"jedenfalls","en todo caso / de todas formas",1.0
"jetzt","ahora",1.0
"jährlich","anualmente",1.0
"kaum","apenas",1.0
"keinesfalls","de ninguna manera",1.0
"lieber","preferiblemente",1.0
"links","a la izquierda",1.0
"manchmal","a veces",1.0
"meistens","la mayoría de las veces",1.0
"mittwochs","los miércoles",1.0
"monatlich","mensualmente",1.0
"montags","los lunes",1.0
"morgen","mañana",1.0
"morgens","por las mañanas",1.0
"nach wie vor","todavía / como siempre",1.0
"nachmittags","por la tarde",1.0
"nachts","por las noches",1.0
"neuerdings","últimamente / recientemente",1.0
"nichtsdestotrotz","no obstante",1.0
"nie","nunca",1.0
"nirgends","en ningún sitio",1.0
"notfalls","en caso de emergencia",1.0
"nur","solamente",1.0
"oben","arriba",1.0
"oft","frecuentemente / a menudo",1.0
"rechts","a la derecha",1.0
"rückwärts","hacia atrás",1.0
"samstags","los sábados",1.0
"sehr","muy",1.0
"selten","pocas veces",1.0
"so","así",1.0
"sofort","inmediatamente",1.0
"somit","así pues",1.0
"sonntags","los domingos",1.0
"sonst","si no",1.0
"später","más tarde",1.0
"stattdessen","en lugar de eso",1.0
"tagsüber","durante el día, de día",1.0
"trotzdem","no obstante",1.0
"täglich","diariamente",1.0
"ungefähr","aproximadamente, más o menos",1.0
"unten","abajo",1.0
"ununterbrochen","ininterrumpidamente",1.0
"vermutlich","probablemente",1.0
"von ungefähr","por casualidad",1.0
"vorerst","por el momento",1.0
"vorgestern","antes de ayer",1.0
"vorn/vorne","delante",1.0
"vorsichtig","con cuidado",1.0
"vorwärts","hacia delante",1.0
"vorzugsweise","preferentemente",1.0
"wann","cuándo",1.0
"warum","por qué",1.0
"wenigstens","al menos",1.0
"westwärts","hacia el oeste",1.0
"wie","cómo",1.0
"wie alt","cuántos años",1.0
"wie lange","cuánto tiempo",1.0
"wie oft","con qué frecuencia",1.0
"wie teuer","qué caro",1.0
"wie viel","cuánto",1.0
"wie weit","qué tan lejos",1.0
"wieso","¿por qué? / ¿cómo así?",1.0
"wo","dónde",1.0
"woher","de dónde",1.0
"wohin","hacia dónde",1.0
"wohl","bien",1.0
"wohler","mejor",1.0
"wöchentlich","semanalmente",1.0
"zeitweise","temporalmente",1.0
"zudem","además",1.0
"zufällig","por casualidad",1.0
"zunehmend","cada vez más",1.0
"zuvor","antes / previamente",1.0
"zweifellos","sin duda",1.0
"zweitens","en segundo lugar",1.0
"öfter","más frecuente",1.0
"überall","en todas partes",1.0
"übermorgen","pasado mañana",1.0
"übrigens","por cierto / a propósito",1.0
